Geography,Gender,Age group,Reference period,Net-migration
,,,2019 / 2020,3
,,,2020 / 2021,3
,,,2021 / 2022,12
,,,2022 / 2023,-3
,,,2023 / 2024,4
,,85 to 89 years,2014 / 2015,-6
,,,2015 / 2016,-5
,,,2016 / 2017,2
,,,2017 / 2018,3
,,,2018 / 2019,2
,,,2019 / 2020,3
,,,2020 / 2021,4
,,,2021 / 2022,5
,,,2022 / 2023,1
,,,2023 / 2024,1
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,4
,,,2023 / 2024,-2
,Women,0 years,2014 / 2015,-1
,,,2015 / 2016,8
,,,2016 / 2017,15
,,,2017 / 2018,9
,,,2018 / 2019,8
,,,2019 / 2020,8
,,,2020 / 2021,8
,,,2021 / 2022,18
,,,2022 / 2023,5
,,,2023 / 2024,5
,,1 year,2014 / 2015,4
,,,2015 / 2016,13
,,,2016 / 2017,12
,,,2017 / 2018,6
,,,2018 / 2019,7
,,,2019 / 2020,8
,,,2020 / 2021,7
,,,2021 / 2022,20
,,,2022 / 2023,2
,,,2023 / 2024,9
,,2 years,2014 / 2015,9
,,,2015 / 2016,15
,,,2016 / 2017,7
,,,2017 / 2018,6
,,,2018 / 2019,6
,,,2019 / 2020,4
,,,2020 / 2021,5
,,,2021 / 2022,9
,,,2022 / 2023,7
,,,2023 / 2024,1
,,3 years,2014 / 2015,14
,,,2015 / 2016,18
,,,2016 / 2017,7
,,,2017 / 2018,4
,,,2018 / 2019,6
,,,2019 / 2020,2
,,,2020 / 2021,5
,,,2021 / 2022,14
,,,2022 / 2023,14
,,,2023 / 2024,4
,,4 years,2014 / 2015,13
,,,2015 / 2016,16
,,,2016 / 2017,6
,,,2017 / 2018,2
,,,2018 / 2019,5
,,,2019 / 2020,2
,,,2020 / 2021,4
,,,2021 / 2022,15
,,,2022 / 2023,16
,,,2023 / 2024,9
,,5 to 9 years,2014 / 2015,27
,,,2015 / 2016,43
,,,2016 / 2017,35
,,,2017 / 2018,13
