Geography,Gender,Age group,Reference period,Net-migration
,,70 to 74 years,2014 / 2015,-93
,,,2015 / 2016,-91
,,,2016 / 2017,-48
,,,2017 / 2018,-35
,,,2018 / 2019,-38
,,,2019 / 2020,-41
,,,2020 / 2021,-31
,,,2021 / 2022,-22
,,,2022 / 2023,-23
,,,2023 / 2024,2
,,75 to 79 years,2014 / 2015,-8
,,,2015 / 2016,-6
,,,2016 / 2017,-25
,,,2017 / 2018,-14
,,,2018 / 2019,-15
,,,2019 / 2020,-18
,,,2020 / 2021,-14
,,,2021 / 2022,-28
,,,2022 / 2023,-25
,,,2023 / 2024,-6
,,80 to 84 years,2014 / 2015,-68
,,,2015 / 2016,-75
,,,2016 / 2017,10
,,,2017 / 2018,9
,,,2018 / 2019,8
,,,2019 / 2020,8
,,,2020 / 2021,12
,,,2021 / 2022,-4
,,,2022 / 2023,-7
,,,2023 / 2024,1
,,85 to 89 years,2014 / 2015,-1
,,,2015 / 2016,1
,,,2016 / 2017,-2
,,,2017 / 2018,-1
,,,2018 / 2019,0
,,,2019 / 2020,-3
,,,2020 / 2021,-1
,,,2021 / 2022,-1
,,,2022 / 2023,-8
,,,2023 / 2024,-1
,,90 years and older,2014 / 2015,-7
,,,2015 / 2016,-7
,,,2016 / 2017,1
,,,2017 / 2018,3
,,,2018 / 2019,1
,,,2019 / 2020,1
,,,2020 / 2021,2
,,,2021 / 2022,0
,,,2022 / 2023,2
,,,2023 / 2024,1
,Women,0 years,2014 / 2015,-19
,,,2015 / 2016,-17
,,,2016 / 2017,-39
,,,2017 / 2018,-59
,,,2018 / 2019,-57
,,,2019 / 2020,-64
,,,2020 / 2021,-65
,,,2021 / 2022,-61
,,,2022 / 2023,-88
,,,2023 / 2024,-55
,,1 year,2014 / 2015,-35
,,,2015 / 2016,-31
,,,2016 / 2017,-33
,,,2017 / 2018,-46
,,,2018 / 2019,-50
,,,2019 / 2020,-56
,,,2020 / 2021,-48
,,,2021 / 2022,-99
,,,2022 / 2023,-110
,,,2023 / 2024,-78
,,2 years,2014 / 2015,-43
,,,2015 / 2016,-35
,,,2016 / 2017,-26
,,,2017 / 2018,-41
,,,2018 / 2019,-42
,,,2019 / 2020,-49
,,,2020 / 2021,-38
,,,2021 / 2022,-97
,,,2022 / 2023,-91
,,,2023 / 2024,-69
,,3 years,2014 / 2015,-47
,,,2015 / 2016,-41
,,,2016 / 2017,-21
,,,2017 / 2018,-34
,,,2018 / 2019,-35
,,,2019 / 2020,-41
,,,2020 / 2021,-31
,,,2021 / 2022,-109
,,,2022 / 2023,-70
,,,2023 / 2024,-64
,,4 years,2014 / 2015,-48
,,,2015 / 2016,-46
,,,2016 / 2017,-18
,,,2017 / 2018,-30
,,,2018 / 2019,-29
,,,2019 / 2020,-37
,,,2020 / 2021,-28
,,,2021 / 2022,-107
,,,2022 / 2023,-110
,,,2023 / 2024,-73
,,5 to 9 years,2014 / 2015,-217
,,,2015 / 2016,-187
,,,2016 / 2017,-96
,,,2017 / 2018,-159
,,,2018 / 2019,-150
,,,2019 / 2020,-178
,,,2020 / 2021,-159
,,,2021 / 2022,-414
,,,2022 / 2023,-482
,,,2023 / 2024,-286
,,10 to 14 years,2014 / 2015,-98
,,,2015 / 2016,-74
,,,2016 / 2017,-182
,,,2017 / 2018,-220
,,,2018 / 2019,-228
,,,2019 / 2020,-250
,,,2020 / 2021,-216
,,,2021 / 2022,-363
,,,2022 / 2023,-357
,,,2023 / 2024,-256
,,15 to 19 years,2014 / 2015,-83
,,,2015 / 2016,-65
,,,2016 / 2017,-240
,,,2017 / 2018,-291
,,,2018 / 2019,-310
,,,2019 / 2020,-336
,,,2020 / 2021,-32
,,,2021 / 2022,-268
,,,2022 / 2023,-271
,,,2023 / 2024,-140
,,20 to 24 years,2014 / 2015,-448
,,,2015 / 2016,-373
,,,2016 / 2017,-288
,,,2017 / 2018,-358
,,,2018 / 2019,-408
,,,2019 / 2020,-391
,,,2020 / 2021,839
,,,2021 / 2022,591
,,,2022 / 2023,66
,,,2023 / 2024,565
,,25 to 29 years,2014 / 2015,-333
,,,2015 / 2016,-172
,,,2016 / 2017,-400
,,,2017 / 2018,-586
,,,2018 / 2019,-602
,,,2019 / 2020,-806
,,,2020 / 2021,-502
,,,2021 / 2022,-597
,,,2022 / 2023,-793
,,,2023 / 2024,-403
,,30 to 34 years,2014 / 2015,-522
,,,2015 / 2016,-399
,,,2016 / 2017,-92
,,,2017 / 2018,-206
,,,2018 / 2019,-227
,,,2019 / 2020,-327
,,,2020 / 2021,-166
,,,2021 / 2022,-761
,,,2022 / 2023,-810
,,,2023 / 2024,-537
,,35 to 39 years,2014 / 2015,-217
,,,2015 / 2016,-137
,,,2016 / 2017,-209
,,,2017 / 2018,-317
,,,2018 / 2019,-333
,,,2019 / 2020,-426
,,,2020 / 2021,-278
,,,2021 / 2022,-668
,,,2022 / 2023,-620
,,,2023 / 2024,-416
,,40 to 44 years,2014 / 2015,-286
,,,2015 / 2016,-216
,,,2016 / 2017,-332
,,,2017 / 2018,-426
,,,2018 / 2019,-435
,,,2019 / 2020,-539
,,,2020 / 2021,-393
,,,2021 / 2022,-376
,,,2022 / 2023,-424
,,,2023 / 2024,-253
,,45 to 49 years,2014 / 2015,-175
,,,2015 / 2016,-144
,,,2016 / 2017,-159
,,,2017 / 2018,-171
,,,2018 / 2019,-142
,,,2019 / 2020,-159
,,,2020 / 2021,-153
,,,2021 / 2022,-275
,,,2022 / 2023,-328
,,,2023 / 2024,-190
,,50 to 54 years,2014 / 2015,-236
,,,2015 / 2016,-214
,,,2016 / 2017,-114
,,,2017 / 2018,-130
,,,2018 / 2019,-105
,,,2019 / 2020,-126
,,,2020 / 2021,-111
,,,2021 / 2022,-171
,,,2022 / 2023,-165
,,,2023 / 2024,-101
,,55 to 59 years,2014 / 2015,-134
,,,2015 / 2016,-120
,,,2016 / 2017,-73
,,,2017 / 2018,-97
,,,2018 / 2019,-57
,,,2019 / 2020,-97
,,,2020 / 2021,-78
,,,2021 / 2022,-138
,,,2022 / 2023,-109
,,,2023 / 2024,-46
,,60 to 64 years,2014 / 2015,-85
,,,2015 / 2016,-69
,,,2016 / 2017,-122
,,,2017 / 2018,-145
,,,2018 / 2019,-114
,,,2019 / 2020,-136
,,,2020 / 2021,-120
,,,2021 / 2022,-101
,,,2022 / 2023,-46
,,,2023 / 2024,-29
,,65 to 69 years,2014 / 2015,-70
,,,2015 / 2016,-61
,,,2016 / 2017,-69
,,,2017 / 2018,-70
,,,2018 / 2019,-66
,,,2019 / 2020,-52
,,,2020 / 2021,-66
,,,2021 / 2022,-48
,,,2022 / 2023,-53
,,,2023 / 2024,-19
,,70 to 74 years,2014 / 2015,-56
,,,2015 / 2016,-42
,,,2016 / 2017,-67
,,,2017 / 2018,-65
,,,2018 / 2019,-71
,,,2019 / 2020,-62
,,,2020 / 2021,-61
,,,2021 / 2022,-35
,,,2022 / 2023,-78
,,,2023 / 2024,-19
,,75 to 79 years,2014 / 2015,-19
,,,2015 / 2016,-14
,,,2016 / 2017,2
,,,2017 / 2018,7
,,,2018 / 2019,0
,,,2019 / 2020,6
,,,2020 / 2021,6
,,,2021 / 2022,2
,,,2022 / 2023,-12
,,,2023 / 2024,11
,,80 to 84 years,2014 / 2015,-71
,,,2015 / 2016,-66
,,,2016 / 2017,-2
,,,2017 / 2018,-1
,,,2018 / 2019,-5
,,,2019 / 2020,-3
,,,2020 / 2021,-5
,,,2021 / 2022,-26
,,,2022 / 2023,-21
,,,2023 / 2024,-8
,,85 to 89 years,2014 / 2015,8
,,,2015 / 2016,15
,,,2016 / 2017,-1
,,,2017 / 2018,-2
,,,2018 / 2019,-5
,,,2019 / 2020,-2
,,,2020 / 2021,-3
,,,2021 / 2022,3
,,,2022 / 2023,-10
,,,2023 / 2024,6
,,90 years and older,2014 / 2015,8
,,,2015 / 2016,9
,,,2016 / 2017,7
,,,2017 / 2018,7
,,,2018 / 2019,5
,,,2019 / 2020,8
,,,2020 / 2021,8
,,,2021 / 2022,0
,,,2022 / 2023,-23
,,,2023 / 2024,-4
Saskatchewan,Men,0 years,2014 / 2015,-50
,,,2015 / 2016,-48
,,,2016 / 2017,-73
,,,2017 / 2018,-97
,,,2018 / 2019,-114
,,,2019 / 2020,-146
,,,2020 / 2021,-102
,,,2021 / 2022,-104
,,,2022 / 2023,-77
,,,2023 / 2024,-68
,,1 year,2014 / 2015,-46
,,,2015 / 2016,-47
,,,2016 / 2017,-63
,,,2017 / 2018,-90
,,,2018 / 2019,-104
,,,2019 / 2020,-131
,,,2020 / 2021,-91
,,,2021 / 2022,-87
,,,2022 / 2023,-89
,,,2023 / 2024,-74
,,2 years,2014 / 2015,-42
,,,2015 / 2016,-47
,,,2016 / 2017,-60
,,,2017 / 2018,-83
,,,2018 / 2019,-96
,,,2019 / 2020,-122
,,,2020 / 2021,-82
,,,2021 / 2022,-92
,,,2022 / 2023,-62
,,,2023 / 2024,-61
,,3 years,2014 / 2015,-41
,,,2015 / 2016,-43
,,,2016 / 2017,-55
,,,2017 / 2018,-77
,,,2018 / 2019,-88
,,,2019 / 2020,-109
,,,2020 / 2021,-77
,,,2021 / 2022,-80
,,,2022 / 2023,-52
,,,2023 / 2024,-48
,,4 years,2014 / 2015,-38
,,,2015 / 2016,-38
,,,2016 / 2017,-49
,,,2017 / 2018,-72
,,,2018 / 2019,-84
,,,2019 / 2020,-101
,,,2020 / 2021,-67
,,,2021 / 2022,-109
,,,2022 / 2023,-117
,,,2023 / 2024,-77
,,5 to 9 years,2014 / 2015,-125
,,,2015 / 2016,-134
,,,2016 / 2017,-189
,,,2017 / 2018,-288
,,,2018 / 2019,-324
,,,2019 / 2020,-399
,,,2020 / 2021,-275
,,,2021 / 2022,-411
,,,2022 / 2023,-423
,,,2023 / 2024,-296
,,10 to 14 years,2014 / 2015,-42
,,,2015 / 2016,-40
,,,2016 / 2017,-138
,,,2017 / 2018,-193
,,,2018 / 2019,-235
,,,2019 / 2020,-309
,,,2020 / 2021,-202
,,,2021 / 2022,-397
,,,2022 / 2023,-341
,,,2023 / 2024,-284
,,15 to 19 years,2014 / 2015,-22
,,,2015 / 2016,-32
,,,2016 / 2017,-111
,,,2017 / 2018,-166
,,,2018 / 2019,-196
,,,2019 / 2020,-267
,,,2020 / 2021,-138
,,,2021 / 2022,-313
,,,2022 / 2023,-213
,,,2023 / 2024,-175
,,20 to 24 years,2014 / 2015,-39
,,,2015 / 2016,-75
,,,2016 / 2017,-150
,,,2017 / 2018,-272
,,,2018 / 2019,-282
,,,2019 / 2020,-387
,,,2020 / 2021,-72
,,,2021 / 2022,-276
,,,2022 / 2023,190
,,,2023 / 2024,88
,,25 to 29 years,2014 / 2015,-402
,,,2015 / 2016,-392
,,,2016 / 2017,-558
,,,2017 / 2018,-989
,,,2018 / 2019,"-1,114"
,,,2019 / 2020,"-1,318"
,,,2020 / 2021,-847
,,,2021 / 2022,-503
,,,2022 / 2023,-388
,,,2023 / 2024,-290
,,30 to 34 years,2014 / 2015,-342
,,,2015 / 2016,-339
,,,2016 / 2017,-275
,,,2017 / 2018,-581
,,,2018 / 2019,-663
,,,2019 / 2020,-795
,,,2020 / 2021,-499
,,,2021 / 2022,-661
,,,2022 / 2023,-440
,,,2023 / 2024,-378
,,35 to 39 years,2014 / 2015,-216
,,,2015 / 2016,-207
,,,2016 / 2017,-60
,,,2017 / 2018,-250
,,,2018 / 2019,-304
,,,2019 / 2020,-375
,,,2020 / 2021,-207
,,,2021 / 2022,-599
,,,2022 / 2023,-515
,,,2023 / 2024,-417
,,40 to 44 years,2014 / 2015,-19
,,,2015 / 2016,-6
,,,2016 / 2017,-215
,,,2017 / 2018,-371
,,,2018 / 2019,-414
,,,2019 / 2020,-505
,,,2020 / 2021,-318
,,,2021 / 2022,-398
,,,2022 / 2023,-381
,,,2023 / 2024,-284
,,45 to 49 years,2014 / 2015,-120
,,,2015 / 2016,-110
,,,2016 / 2017,-117
,,,2017 / 2018,-142
,,,2018 / 2019,-140
,,,2019 / 2020,-191
,,,2020 / 2021,-178
,,,2021 / 2022,-309
,,,2022 / 2023,-212
,,,2023 / 2024,-183
,,50 to 54 years,2014 / 2015,23
,,,2015 / 2016,27
,,,2016 / 2017,-145
,,,2017 / 2018,-161
,,,2018 / 2019,-159
,,,2019 / 2020,-205
,,,2020 / 2021,-193
,,,2021 / 2022,-150
,,,2022 / 2023,-122
,,,2023 / 2024,-93
,,55 to 59 years,2014 / 2015,-189
,,,2015 / 2016,-189
,,,2016 / 2017,-65
,,,2017 / 2018,-76
,,,2018 / 2019,-82
,,,2019 / 2020,-121
,,,2020 / 2021,-115
,,,2021 / 2022,-70
,,,2022 / 2023,1
,,,2023 / 2024,0
,,60 to 64 years,2014 / 2015,-81
,,,2015 / 2016,-63
,,,2016 / 2017,-116
,,,2017 / 2018,-130
,,,2018 / 2019,-140
,,,2019 / 2020,-174
,,,2020 / 2021,-161
,,,2021 / 2022,-71
,,,2022 / 2023,-14
,,,2023 / 2024,-10
,,65 to 69 years,2014 / 2015,-188
,,,2015 / 2016,-149
,,,2016 / 2017,-56
,,,2017 / 2018,-78
,,,2018 / 2019,-62
,,,2019 / 2020,-63
,,,2020 / 2021,-57
,,,2021 / 2022,-40
,,,2022 / 2023,-3
,,,2023 / 2024,11
,,70 to 74 years,2014 / 2015,-28
,,,2015 / 2016,-4
,,,2016 / 2017,-23
,,,2017 / 2018,-32
,,,2018 / 2019,-23
,,,2019 / 2020,-27
,,,2020 / 2021,-29
,,,2021 / 2022,-23
,,,2022 / 2023,27
,,,2023 / 2024,8
,,75 to 79 years,2014 / 2015,42
,,,2015 / 2016,50
,,,2016 / 2017,-31
,,,2017 / 2018,-37
,,,2018 / 2019,-33
,,,2019 / 2020,-36
,,,2020 / 2021,-31
,,,2021 / 2022,-5
,,,2022 / 2023,-12
,,,2023 / 2024,3
,,80 to 84 years,2014 / 2015,-80
,,,2015 / 2016,-70
,,,2016 / 2017,-35
,,,2017 / 2018,-40
,,,2018 / 2019,-38
,,,2019 / 2020,-41
,,,2020 / 2021,-35
,,,2021 / 2022,-14
,,,2022 / 2023,13
,,,2023 / 2024,5
,,85 to 89 years,2014 / 2015,-16
,,,2015 / 2016,-12
,,,2016 / 2017,1
,,,2017 / 2018,-3
,,,2018 / 2019,-3
,,,2019 / 2020,1
,,,2020 / 2021,-1
,,,2021 / 2022,-12
,,,2022 / 2023,-1
,,,2023 / 2024,-3
,,90 years and older,2014 / 2015,5
,,,2015 / 2016,6
,,,2016 / 2017,-4
,,,2017 / 2018,-5
,,,2018 / 2019,-3
,,,2019 / 2020,-3
,,,2020 / 2021,-5
,,,2021 / 2022,-3
,,,2022 / 2023,3
,,,2023 / 2024,2
,Women,0 years,2014 / 2015,-41
,,,2015 / 2016,-38
,,,2016 / 2017,-23
,,,2017 / 2018,-36
,,,2018 / 2019,-46
,,,2019 / 2020,-68
,,,2020 / 2021,-38
,,,2021 / 2022,-97
,,,2022 / 2023,-55
,,,2023 / 2024,-43
,,1 year,2014 / 2015,-31
,,,2015 / 2016,-29
,,,2016 / 2017,-42
,,,2017 / 2018,-58
,,,2018 / 2019,-63
,,,2019 / 2020,-87
,,,2020 / 2021,-55
,,,2021 / 2022,-88
,,,2022 / 2023,-52
,,,2023 / 2024,-48
,,2 years,2014 / 2015,-24
,,,2015 / 2016,-24
,,,2016 / 2017,-53
,,,2017 / 2018,-74
,,,2018 / 2019,-82
,,,2019 / 2020,-101
,,,2020 / 2021,-67
,,,2021 / 2022,-77
,,,2022 / 2023,-84
,,,2023 / 2024,-56
,,3 years,2014 / 2015,-17
,,,2015 / 2016,-18
,,,2016 / 2017,-59
,,,2017 / 2018,-79
,,,2018 / 2019,-90
,,,2019 / 2020,-109
,,,2020 / 2021,-73
,,,2021 / 2022,-89
,,,2022 / 2023,-58
,,,2023 / 2024,-50
,,4 years,2014 / 2015,-15
,,,2015 / 2016,-14
,,,2016 / 2017,-63
,,,2017 / 2018,-84
,,,2018 / 2019,-92
,,,2019 / 2020,-112
,,,2020 / 2021,-76
,,,2021 / 2022,-69
,,,2022 / 2023,-66
,,,2023 / 2024,-47
,,5 to 9 years,2014 / 2015,-64
,,,2015 / 2016,-74
,,,2016 / 2017,-275
,,,2017 / 2018,-345
,,,2018 / 2019,-373
,,,2019 / 2020,-466
,,,2020 / 2021,-318
,,,2021 / 2022,-382
,,,2022 / 2023,-317
,,,2023 / 2024,-279
,,10 to 14 years,2014 / 2015,-153
,,,2015 / 2016,-155
,,,2016 / 2017,-111
,,,2017 / 2018,-148
,,,2018 / 2019,-181
,,,2019 / 2020,-241
,,,2020 / 2021,-148
,,,2021 / 2022,-355
,,,2022 / 2023,-256
,,,2023 / 2024,-228
,,15 to 19 years,2014 / 2015,-240
,,,2015 / 2016,-232
,,,2016 / 2017,-254
,,,2017 / 2018,-298
,,,2018 / 2019,-314
,,,2019 / 2020,-395
,,,2020 / 2021,-224
,,,2021 / 2022,-252
,,,2022 / 2023,-214
,,,2023 / 2024,-166
,,20 to 24 years,2014 / 2015,-209
,,,2015 / 2016,-208
,,,2016 / 2017,-321
,,,2017 / 2018,-380
,,,2018 / 2019,-346
,,,2019 / 2020,-409
,,,2020 / 2021,-108
,,,2021 / 2022,-371
,,,2022 / 2023,-82
,,,2023 / 2024,-40
,,25 to 29 years,2014 / 2015,-441
,,,2015 / 2016,-409
,,,2016 / 2017,-568
,,,2017 / 2018,-798
,,,2018 / 2019,-931
,,,2019 / 2020,"-1,093"
,,,2020 / 2021,-682
,,,2021 / 2022,-698
,,,2022 / 2023,-427
,,,2023 / 2024,-366
,,30 to 34 years,2014 / 2015,-314
,,,2015 / 2016,-301
,,,2016 / 2017,-287
,,,2017 / 2018,-447
,,,2018 / 2019,-534
,,,2019 / 2020,-631
,,,2020 / 2021,-374
,,,2021 / 2022,-699
,,,2022 / 2023,-545
,,,2023 / 2024,-449
,,35 to 39 years,2014 / 2015,-74
,,,2015 / 2016,-43
,,,2016 / 2017,-181
,,,2017 / 2018,-290
,,,2018 / 2019,-348
,,,2019 / 2020,-417
,,,2020 / 2021,-236
,,,2021 / 2022,-500
,,,2022 / 2023,-405
,,,2023 / 2024,-309
,,40 to 44 years,2014 / 2015,-12
,,,2015 / 2016,0
,,,2016 / 2017,-279
,,,2017 / 2018,-358
,,,2018 / 2019,-407
,,,2019 / 2020,-474
,,,2020 / 2021,-308
,,,2021 / 2022,-313
,,,2022 / 2023,-371
,,,2023 / 2024,-251
,,45 to 49 years,2014 / 2015,-88
,,,2015 / 2016,-83
,,,2016 / 2017,-73
,,,2017 / 2018,-97
,,,2018 / 2019,-125
,,,2019 / 2020,-127
,,,2020 / 2021,-93
,,,2021 / 2022,-242
,,,2022 / 2023,-193
,,,2023 / 2024,-149
,,50 to 54 years,2014 / 2015,-113
,,,2015 / 2016,-106
,,,2016 / 2017,-147
,,,2017 / 2018,-182
,,,2018 / 2019,-203
,,,2019 / 2020,-203
,,,2020 / 2021,-168
,,,2021 / 2022,-161
,,,2022 / 2023,-105
,,,2023 / 2024,-65
,,55 to 59 years,2014 / 2015,-67
,,,2015 / 2016,-67
,,,2016 / 2017,-69
,,,2017 / 2018,-92
,,,2018 / 2019,-126
,,,2019 / 2020,-128
,,,2020 / 2021,-91
,,,2021 / 2022,-75
,,,2022 / 2023,-3
,,,2023 / 2024,3
,,60 to 64 years,2014 / 2015,-143
,,,2015 / 2016,-145
,,,2016 / 2017,-98
,,,2017 / 2018,-121
,,,2018 / 2019,-159
,,,2019 / 2020,-151
,,,2020 / 2021,-123
,,,2021 / 2022,-60
,,,2022 / 2023,7
,,,2023 / 2024,11
,,65 to 69 years,2014 / 2015,-156
,,,2015 / 2016,-137
,,,2016 / 2017,-84
,,,2017 / 2018,-114
,,,2018 / 2019,-84
,,,2019 / 2020,-105
,,,2020 / 2021,-43
,,,2021 / 2022,-65
,,,2022 / 2023,-37
,,,2023 / 2024,0
,,70 to 74 years,2014 / 2015,-87
,,,2015 / 2016,-70
,,,2016 / 2017,-54
,,,2017 / 2018,-67
,,,2018 / 2019,-55
,,,2019 / 2020,-60
,,,2020 / 2021,-34
,,,2021 / 2022,-28
,,,2022 / 2023,-22
,,,2023 / 2024,-8
,,75 to 79 years,2014 / 2015,-16
,,,2015 / 2016,-11
,,,2016 / 2017,1
,,,2017 / 2018,-5
,,,2018 / 2019,-4
,,,2019 / 2020,-2
,,,2020 / 2021,8
,,,2021 / 2022,-13
,,,2022 / 2023,-32
,,,2023 / 2024,-8
,,80 to 84 years,2014 / 2015,-20
,,,2015 / 2016,-9
,,,2016 / 2017,-37
,,,2017 / 2018,-44
,,,2018 / 2019,-42
,,,2019 / 2020,-45
,,,2020 / 2021,-29
,,,2021 / 2022,-44
,,,2022 / 2023,-12
,,,2023 / 2024,-6
,,85 to 89 years,2014 / 2015,-86
,,,2015 / 2016,-77
,,,2016 / 2017,0
,,,2017 / 2018,-1
,,,2018 / 2019,-3
,,,2019 / 2020,1
,,,2020 / 2021,6
,,,2021 / 2022,-25
,,,2022 / 2023,-25
,,,2023 / 2024,-12
,,90 years and older,2014 / 2015,-17
,,,2015 / 2016,-16
,,,2016 / 2017,-38
,,,2017 / 2018,-43
,,,2018 / 2019,-37
,,,2019 / 2020,-43
,,,2020 / 2021,-37
,,,2021 / 2022,-22
,,,2022 / 2023,-29
,,,2023 / 2024,-17
Alberta,Men,0 years,2014 / 2015,-91
,,,2015 / 2016,-338
,,,2016 / 2017,-286
,,,2017 / 2018,-160
,,,2018 / 2019,-127
,,,2019 / 2020,-128
,,,2020 / 2021,-192
,,,2021 / 2022,125
,,,2022 / 2023,455
,,,2023 / 2024,424
,,1 year,2014 / 2015,-27
,,,2015 / 2016,-269
,,,2016 / 2017,-245
,,,2017 / 2018,-123
,,,2018 / 2019,-94
,,,2019 / 2020,-96
,,,2020 / 2021,-161
,,,2021 / 2022,157
,,,2022 / 2023,436
,,,2023 / 2024,439
,,2 years,2014 / 2015,20
,,,2015 / 2016,-213
,,,2016 / 2017,-205
,,,2017 / 2018,-90
,,,2018 / 2019,-68
,,,2019 / 2020,-70
,,,2020 / 2021,-132
,,,2021 / 2022,50
,,,2022 / 2023,419
,,,2023 / 2024,368
,,3 years,2014 / 2015,54
,,,2015 / 2016,-172
,,,2016 / 2017,-173
,,,2017 / 2018,-68
,,,2018 / 2019,-50
,,,2019 / 2020,-52
,,,2020 / 2021,-110
,,,2021 / 2022,31
,,,2022 / 2023,348
,,,2023 / 2024,331
,,4 years,2014 / 2015,66
,,,2015 / 2016,-143
,,,2016 / 2017,-152
,,,2017 / 2018,-50
,,,2018 / 2019,-36
,,,2019 / 2020,-38
,,,2020 / 2021,-92
,,,2021 / 2022,60
,,,2022 / 2023,375
,,,2023 / 2024,339
,,5 to 9 years,2014 / 2015,283
,,,2015 / 2016,-509
,,,2016 / 2017,-536
,,,2017 / 2018,-154
,,,2018 / 2019,-85
,,,2019 / 2020,-91
,,,2020 / 2021,-317
,,,2021 / 2022,155
,,,2022 / 2023,"1,601"
,,,2023 / 2024,"1,539"
,,10 to 14 years,2014 / 2015,93
,,,2015 / 2016,-528
,,,2016 / 2017,-362
,,,2017 / 2018,-71
,,,2018 / 2019,-16
,,,2019 / 2020,-20
,,,2020 / 2021,-195
,,,2021 / 2022,193
,,,2022 / 2023,"1,273"
,,,2023 / 2024,"1,258"
,,15 to 19 years,2014 / 2015,"1,135"
,,,2015 / 2016,-223
,,,2016 / 2017,13
,,,2017 / 2018,466
,,,2018 / 2019,397
,,,2019 / 2020,335
,,,2020 / 2021,103
,,,2021 / 2022,281
,,,2022 / 2023,773
,,,2023 / 2024,918
,,20 to 24 years,2014 / 2015,"4,414"
,,,2015 / 2016,564
,,,2016 / 2017,-26
,,,2017 / 2018,"1,131"
,,,2018 / 2019,665
,,,2019 / 2020,346
,,,2020 / 2021,86
,,,2021 / 2022,660
,,,2022 / 2023,"1,954"
,,,2023 / 2024,"2,300"
,,25 to 29 years,2014 / 2015,"3,116"
,,,2015 / 2016,"-1,313"
,,,2016 / 2017,"-1,614"
,,,2017 / 2018,-262
,,,2018 / 2019,-144
,,,2019 / 2020,-125
,,,2020 / 2021,-802
,,,2021 / 2022,792
,,,2022 / 2023,"3,011"
,,,2023 / 2024,"3,328"
,,30 to 34 years,2014 / 2015,"2,036"
,,,2015 / 2016,-838
,,,2016 / 2017,"-1,517"
,,,2017 / 2018,-545
,,,2018 / 2019,-441
,,,2019 / 2020,-463
,,,2020 / 2021,-903
,,,2021 / 2022,278
,,,2022 / 2023,"2,524"
,,,2023 / 2024,"2,671"
,,35 to 39 years,2014 / 2015,"1,405"
,,,2015 / 2016,-762
,,,2016 / 2017,-657
,,,2017 / 2018,-50
,,,2018 / 2019,-5
,,,2019 / 2020,9
,,,2020 / 2021,-315
,,,2021 / 2022,-102
,,,2022 / 2023,"1,998"
,,,2023 / 2024,"2,011"
,,40 to 44 years,2014 / 2015,"1,129"
,,,2015 / 2016,-661
,,,2016 / 2017,-474
,,,2017 / 2018,7
,,,2018 / 2019,39
,,,2019 / 2020,57
,,,2020 / 2021,-203
,,,2021 / 2022,-261
,,,2022 / 2023,"1,231"
,,,2023 / 2024,"1,255"
,,45 to 49 years,2014 / 2015,484
,,,2015 / 2016,-451
,,,2016 / 2017,-529
,,,2017 / 2018,-316
,,,2018 / 2019,-236
,,,2019 / 2020,-223
,,,2020 / 2021,-292
,,,2021 / 2022,-138
,,,2022 / 2023,734
,,,2023 / 2024,820
,,50 to 54 years,2014 / 2015,-34
,,,2015 / 2016,-771
,,,2016 / 2017,-675
,,,2017 / 2018,-451
,,,2018 / 2019,-372
,,,2019 / 2020,-360
,,,2020 / 2021,-415
,,,2021 / 2022,-309
,,,2022 / 2023,315
,,,2023 / 2024,494
,,55 to 59 years,2014 / 2015,-158
,,,2015 / 2016,-767
,,,2016 / 2017,-995
,,,2017 / 2018,-766
,,,2018 / 2019,-673
,,,2019 / 2020,-658
,,,2020 / 2021,-675
,,,2021 / 2022,-406
,,,2022 / 2023,189
,,,2023 / 2024,377
,,60 to 64 years,2014 / 2015,-257
,,,2015 / 2016,-685
,,,2016 / 2017,-584
,,,2017 / 2018,-411
,,,2018 / 2019,-351
,,,2019 / 2020,-331
,,,2020 / 2021,-372
,,,2021 / 2022,-252
,,,2022 / 2023,305
,,,2023 / 2024,528
,,65 to 69 years,2014 / 2015,-195
,,,2015 / 2016,-132
,,,2016 / 2017,-155
,,,2017 / 2018,-62
,,,2018 / 2019,-22
,,,2019 / 2020,-54
,,,2020 / 2021,-87
,,,2021 / 2022,51
,,,2022 / 2023,378
,,,2023 / 2024,607
,,70 to 74 years,2014 / 2015,-142
,,,2015 / 2016,-95
,,,2016 / 2017,-11
,,,2017 / 2018,32
,,,2018 / 2019,55
,,,2019 / 2020,51
,,,2020 / 2021,26
,,,2021 / 2022,298
,,,2022 / 2023,455
,,,2023 / 2024,606
,,75 to 79 years,2014 / 2015,-206
,,,2015 / 2016,-168
,,,2016 / 2017,82
,,,2017 / 2018,110
,,,2018 / 2019,117
,,,2019 / 2020,123
,,,2020 / 2021,106
,,,2021 / 2022,226
,,,2022 / 2023,338
,,,2023 / 2024,395
,,80 to 84 years,2014 / 2015,35
,,,2015 / 2016,51
,,,2016 / 2017,20
,,,2017 / 2018,42
,,,2018 / 2019,46
,,,2019 / 2020,49
,,,2020 / 2021,30
,,,2021 / 2022,121
,,,2022 / 2023,118
,,,2023 / 2024,178
,,85 to 89 years,2014 / 2015,-3
,,,2015 / 2016,11
,,,2016 / 2017,6
,,,2017 / 2018,9
,,,2018 / 2019,14
,,,2019 / 2020,16
,,,2020 / 2021,15
,,,2021 / 2022,78
,,,2022 / 2023,78
,,,2023 / 2024,110
